YEAR,Longitude,Latitude,MO,DY,PRECTOTCORR
1981,6.2338340238658825,9.898270161085012,10,15,51.65
1981,6.2338340238658825,10.347427803144774,9,28,37.03
1981,6.680141303269673,9.449112519025253,4,30,50.14
1981,6.680141303269673,9.898270161085012,9,3,36.59
1981,6.680141303269673,10.347427803144774,9,3,35.32
1981,6.680141303269673,10.796585445204531,9,3,35.32
1981,6.680141303269673,11.245743087264296,7,20,36.94
1981,7.126041779624445,9.449112519025253,9,7,33.99
1981,7.126041779624445,9.898270161085012,7,15,36.6
1981,7.126041779624445,10.347427803144774,7,10,34.41
1981,7.126041779624445,10.796585445204531,7,10,34.41
1981,7.126041779624445,11.245743087264296,7,20,48.6
1981,7.126041779624445,11.694900729324054,7,20,45.52
1981,7.126041779624445,12.593216013443577,7,20,39.83
1981,7.126041779624445,13.042373655503338,9,14,37.52
1981,7.571508843038432,7.652481950786209,9,8,41.52
1981,7.571508843038432,8.101639592845968,9,8,32.92
1981,7.571508843038432,8.55079723490573,9,8,28.08
1981,7.571508843038432,8.999954876965491,9,8,28.08
1981,7.571508843038432,9.449112519025253,10,1,28.16
1981,7.571508843038432,9.898270161085012,6,10,30.8
1981,7.571508843038432,10.347427803144774,6,10,34.11
1981,7.571508843038432,10.796585445204531,6,10,34.11
1981,7.571508843038432,11.245743087264296,9,5,34.85
1981,7.571508843038432,11.694900729324054,7,5,35.25
1981,7.571508843038432,12.144058371383815,7,5,35.25
1981,7.571508843038432,12.593216013443577,7,20,35.26
1981,7.571508843038432,13.042373655503338,9,14,40.77
1981,7.571508843038432,13.491531297563098,7,27,40.81
1981,8.016516014323393,7.203324308726448,9,8,40.63
1981,8.016516014323393,7.652481950786209,9,8,40.63
1981,8.016516014323393,8.101639592845968,9,8,30.56
1981,8.016516014323393,8.55079723490573,10,1,25.8
1981,8.016516014323393,8.999954876965491,10,1,25.8
1981,8.016516014323393,9.449112519025253,9,7,23.22
1981,8.016516014323393,9.898270161085012,10,16,29.06
1981,8.016516014323393,10.347427803144774,6,10,36.74
1981,8.016516014323393,10.796585445204531,6,10,36.74
1981,8.016516014323393,11.245743087264296,6,10,28.59
1981,8.016516014323393,11.694900729324054,6,10,31.22
1981,8.016516014323393,12.144058371383815,6,10,31.22
1981,8.016516014323393,12.593216013443577,8,18,24.73
1981,8.016516014323393,13.042373655503338,9,14,32.99
1981,8.016516014323393,13.491531297563098,9,14,32.97
1981,8.016516014323393,13.94068893962286,9,14,32.97
1981,8.016516014323393,14.38984658168262,7,8,36.99
1981,8.016516014323393,14.83900422374238,7,8,47.07
1981,8.461036952645479,7.203324308726448,9,8,42.38
1981,8.461036952645479,7.652481950786209,9,8,42.38
1981,8.461036952645479,8.101639592845968,9,8,30.23
1981,8.461036952645479,8.55079723490573,4,27,27.72
1981,8.461036952645479,8.999954876965491,4,27,27.72
1981,8.461036952645479,9.449112519025253,4,27,27.38
1981,8.461036952645479,9.898270161085012,10,16,23.03
1981,8.461036952645479,10.347427803144774,10,16,26.85
1981,8.461036952645479,10.796585445204531,10,16,26.85
1981,8.461036952645479,11.245743087264296,9,3,27.3
1981,8.461036952645479,11.694900729324054,9,3,30.05
1981,8.461036952645479,12.144058371383815,9,3,30.05
1981,8.461036952645479,12.593216013443577,7,5,25.58
1981,8.461036952645479,13.042373655503338,10,27,29.27
1981,8.461036952645479,13.491531297563098,10,27,28.43
1981,8.461036952645479,13.94068893962286,10,27,28.43
1981,8.461036952645479,14.38984658168262,7,28,29.72
1981,8.461036952645479,14.83900422374238,9,21,33.14
1981,8.905045463075526,7.652481950786209,9,8,41.51
1981,8.905045463075526,8.101639592845968,7,10,38.29
1981,8.905045463075526,8.55079723490573,7,10,34.43
1981,8.905045463075526,8.999954876965491,7,10,34.43
1981,8.905045463075526,9.449112519025253,7,10,31.83
1981,8.905045463075526,9.898270161085012,6,28,25.24
1981,8.905045463075526,10.347427803144774,6,28,25.39
1981,8.905045463075526,10.796585445204531,6,28,25.39
