-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 01/01/2024 
Location: Latitude  8.905   Longitude 8.5508 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 606.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
1981,1,1,0.0
1981,1,2,0.0
1981,1,3,0.0
1981,1,4,0.0
1981,1,5,0.0
1981,1,6,0.0
1981,1,7,0.0
1981,1,8,0.0
1981,1,9,0.0
1981,1,10,0.0
1981,1,11,0.0
1981,1,12,0.0
1981,1,13,0.0
1981,1,14,0.0
1981,1,15,0.0
1981,1,16,0.0
1981,1,17,0.0
1981,1,18,0.0
1981,1,19,0.0
1981,1,20,0.0
1981,1,21,0.0
1981,1,22,0.0
1981,1,23,0.03
1981,1,24,0.01
1981,1,25,0.0
1981,1,26,0.0
1981,1,27,0.0
1981,1,28,0.0
1981,1,29,0.0
1981,1,30,0.0
1981,1,31,0.0
1981,2,1,0.0
1981,2,2,0.0
1981,2,3,0.0
1981,2,4,0.0
1981,2,5,0.0
1981,2,6,0.0
1981,2,7,0.0
1981,2,8,0.0
1981,2,9,0.0
1981,2,10,0.0
1981,2,11,0.0
1981,2,12,0.0
1981,2,13,0.0
1981,2,14,0.0
1981,2,15,0.0
1981,2,16,0.0
1981,2,17,0.0
1981,2,18,0.0
1981,2,19,0.0
1981,2,20,0.05
1981,2,21,0.08
1981,2,22,0.16
1981,2,23,0.11
1981,2,24,0.39
1981,2,25,0.01
1981,2,26,0.0
1981,2,27,0.0
1981,2,28,0.0
1981,3,1,0.0
1981,3,2,0.0
1981,3,3,0.0
1981,3,4,0.0
1981,3,5,0.0
1981,3,6,0.0
1981,3,7,0.0
1981,3,8,0.05
1981,3,9,0.14
1981,3,10,0.16
1981,3,11,0.08
1981,3,12,0.04
1981,3,13,0.01
1981,3,14,0.14
1981,3,15,0.11
1981,3,16,0.02
1981,3,17,0.15
1981,3,18,0.29
1981,3,19,0.79
1981,3,20,0.5
1981,3,21,0.52
1981,3,22,0.08
1981,3,23,0.03
1981,3,24,0.04
1981,3,25,0.05
1981,3,26,0.01
1981,3,27,0.0
1981,3,28,0.0
1981,3,29,0.0
1981,3,30,0.0
1981,3,31,0.0
1981,4,1,1.87
1981,4,2,1.21
1981,4,3,0.57
1981,4,4,1.03
1981,4,5,1.0
1981,4,6,2.78
1981,4,7,3.16
1981,4,8,5.99
1981,4,9,1.93
1981,4,10,1.24
1981,4,11,0.16
1981,4,12,0.15
1981,4,13,0.02
1981,4,14,0.07
1981,4,15,0.2
1981,4,16,1.97
1981,4,17,2.6
1981,4,18,2.99
1981,4,19,4.43
1981,4,20,2.74
1981,4,21,17.83
1981,4,22,2.93
1981,4,23,10.43
1981,4,24,6.94
1981,4,25,4.47
1981,4,26,21.67
1981,4,27,30.94
1981,4,28,6.14
1981,4,29,14.99
1981,4,30,12.02
1981,5,1,7.82
1981,5,2,9.99
1981,5,3,6.32
1981,5,4,7.04
1981,5,5,3.69
1981,5,6,1.82
1981,5,7,2.46
1981,5,8,4.09
1981,5,9,5.3
1981,5,10,3.09
1981,5,11,8.16
1981,5,12,3.74
1981,5,13,4.28
1981,5,14,3.37
1981,5,15,0.56
1981,5,16,3.49
1981,5,17,5.0
1981,5,18,2.51
1981,5,19,2.11
1981,5,20,5.62
1981,5,21,4.62
1981,5,22,1.22
1981,5,23,1.35
1981,5,24,2.68
1981,5,25,1.08
1981,5,26,7.39
1981,5,27,5.51
1981,5,28,1.75
1981,5,29,5.24
1981,5,30,2.55
1981,5,31,0.74
1981,6,1,1.24
1981,6,2,0.51
1981,6,3,0.83
1981,6,4,1.13
1981,6,5,3.58
1981,6,6,9.7
1981,6,7,8.65
1981,6,8,9.07
1981,6,9,2.07
1981,6,10,13.27
1981,6,11,10.04
1981,6,12,6.24
1981,6,13,2.93
1981,6,14,2.95
1981,6,15,3.63
1981,6,16,5.38
1981,6,17,8.55
1981,6,18,7.01
1981,6,19,6.47
1981,6,20,8.26
1981,6,21,2.7
1981,6,22,4.21
1981,6,23,5.97
1981,6,24,5.55
1981,6,25,4.47
1981,6,26,10.85
1981,6,27,1.75
1981,6,28,21.05
1981,6,29,14.81
1981,6,30,4.38
1981,7,1,14.93
1981,7,2,10.23
1981,7,3,8.83
1981,7,4,11.11
1981,7,5,8.91
1981,7,6,9.43
1981,7,7,10.9
1981,7,8,15.19
1981,7,9,9.17
1981,7,10,34.43
1981,7,11,5.1
1981,7,12,10.99
1981,7,13,12.09
1981,7,14,21.57
1981,7,15,6.48
1981,7,16,6.93
1981,7,17,7.19
1981,7,18,2.64
1981,7,19,21.61
1981,7,20,12.49
1981,7,21,21.01
1981,7,22,3.37
1981,7,23,13.46
1981,7,24,13.35
1981,7,25,25.18
1981,7,26,10.11
1981,7,27,14.07
1981,7,28,10.93
1981,7,29,6.62
1981,7,30,3.81
1981,7,31,17.09
1981,8,1,7.25
1981,8,2,9.18
1981,8,3,8.75
1981,8,4,8.56
1981,8,5,14.59
1981,8,6,10.53
1981,8,7,5.55
1981,8,8,7.25
1981,8,9,1.87
1981,8,10,1.79
1981,8,11,2.48
1981,8,12,4.1
1981,8,13,12.25
1981,8,14,6.63
1981,8,15,3.8
1981,8,16,4.24
1981,8,17,8.28
1981,8,18,13.48
1981,8,19,3.06
1981,8,20,1.54
1981,8,21,0.52
1981,8,22,3.29
1981,8,23,2.57
1981,8,24,10.81
1981,8,25,2.66
1981,8,26,5.69
1981,8,27,11.03
1981,8,28,19.29
1981,8,29,7.63
1981,8,30,2.92
1981,8,31,3.46
1981,9,1,2.09
1981,9,2,7.65
1981,9,3,10.72
1981,9,4,19.08
1981,9,5,4.94
1981,9,6,8.66
1981,9,7,15.58
1981,9,8,28.26
1981,9,9,19.12
1981,9,10,12.34
1981,9,11,21.16
1981,9,12,11.72
1981,9,13,7.46
1981,9,14,10.44
1981,9,15,3.82
1981,9,16,11.02
1981,9,17,9.53
1981,9,18,6.64
1981,9,19,7.48
1981,9,20,5.27
1981,9,21,4.96
1981,9,22,3.76
1981,9,23,3.53
1981,9,24,6.36
1981,9,25,4.6
1981,9,26,6.39
1981,9,27,1.86
1981,9,28,2.18
1981,9,29,11.51
1981,9,30,6.08
1981,10,1,14.33
1981,10,2,4.19
1981,10,3,11.64
1981,10,4,5.88
1981,10,5,5.69
1981,10,6,3.9
1981,10,7,3.0
1981,10,8,6.44
1981,10,9,0.97
1981,10,10,3.53
1981,10,11,5.68
1981,10,12,10.76
1981,10,13,6.16
1981,10,14,2.73
1981,10,15,12.44
1981,10,16,4.01
1981,10,17,2.18
1981,10,18,5.25
1981,10,19,6.24
1981,10,20,10.64
1981,10,21,3.47
1981,10,22,5.84
1981,10,23,10.76
1981,10,24,5.71
1981,10,25,4.16
1981,10,26,4.75
1981,10,27,4.21
1981,10,28,0.79
1981,10,29,1.03
1981,10,30,1.77
1981,10,31,1.3
1981,11,1,0.43
1981,11,2,1.18
1981,11,3,0.32
1981,11,4,0.33
1981,11,5,2.09
1981,11,6,0.8
1981,11,7,0.01
1981,11,8,0.01
1981,11,9,0.09
1981,11,10,0.0
1981,11,11,0.14
1981,11,12,0.19
1981,11,13,0.25
1981,11,14,0.59
1981,11,15,0.48
1981,11,16,0.03
1981,11,17,0.0
1981,11,18,0.0
1981,11,19,0.0
1981,11,20,0.0
1981,11,21,0.0
1981,11,22,0.0
1981,11,23,0.0
1981,11,24,0.0
1981,11,25,0.0
1981,11,26,0.0
1981,11,27,0.0
1981,11,28,0.0
1981,11,29,0.0
1981,11,30,0.0
1981,12,1,0.0
1981,12,2,0.0
1981,12,3,0.0
1981,12,4,0.0
1981,12,5,0.0
1981,12,6,0.0
1981,12,7,0.0
1981,12,8,0.0
1981,12,9,0.0
1981,12,10,0.0
1981,12,11,0.0
1981,12,12,0.0
1981,12,13,0.0
1981,12,14,0.0
1981,12,15,0.0
1981,12,16,0.0
1981,12,17,0.0
1981,12,18,0.0
1981,12,19,0.0
1981,12,20,0.0
1981,12,21,0.0
1981,12,22,0.0
1981,12,23,0.0
1981,12,24,0.0
1981,12,25,0.0
1981,12,26,0.0
1981,12,27,0.0
1981,12,28,0.0
1981,12,29,0.0
1981,12,30,0.0
1981,12,31,0.0
1982,1,1,0.0
1982,1,2,0.0
1982,1,3,0.01
1982,1,4,0.02
1982,1,5,0.0
1982,1,6,0.0
1982,1,7,0.0
1982,1,8,0.18
1982,1,9,0.84
1982,1,10,0.0
1982,1,11,0.0
1982,1,12,0.0
1982,1,13,0.0
1982,1,14,0.0
1982,1,15,0.03
1982,1,16,0.0
1982,1,17,0.61
1982,1,18,0.43
1982,1,19,0.11
1982,1,20,0.78
1982,1,21,0.27
1982,1,22,0.06
1982,1,23,0.06
1982,1,24,0.21
1982,1,25,0.03
1982,1,26,0.0
1982,1,27,0.0
1982,1,28,0.0
1982,1,29,0.0
1982,1,30,0.0
1982,1,31,0.0
1982,2,1,0.0
1982,2,2,0.0
1982,2,3,0.0
1982,2,4,0.0
1982,2,5,0.0
1982,2,6,0.0
1982,2,7,0.0
1982,2,8,0.0
1982,2,9,0.0
1982,2,10,0.0
1982,2,11,0.0
1982,2,12,0.0
1982,2,13,0.0
1982,2,14,0.0
1982,2,15,0.01
1982,2,16,0.0
1982,2,17,0.04
1982,2,18,0.0
1982,2,19,0.0
1982,2,20,0.0
1982,2,21,0.32
1982,2,22,0.46
1982,2,23,0.88
1982,2,24,1.23
1982,2,25,4.13
1982,2,26,4.46
1982,2,27,3.15
1982,2,28,7.37
1982,3,1,5.27
1982,3,2,1.21
1982,3,3,0.0
1982,3,4,0.0
1982,3,5,0.01
1982,3,6,0.0
1982,3,7,0.0
1982,3,8,0.0
1982,3,9,0.0
1982,3,10,0.02
1982,3,11,2.03
1982,3,12,12.99
1982,3,13,6.89
1982,3,14,6.86
1982,3,15,6.93
1982,3,16,7.53
1982,3,17,1.27
1982,3,18,1.68
1982,3,19,0.69
1982,3,20,0.82
1982,3,21,0.54
1982,3,22,0.15
1982,3,23,3.16
1982,3,24,2.82
1982,3,25,0.81
1982,3,26,2.68
1982,3,27,7.97
1982,3,28,2.67
1982,3,29,0.45
1982,3,30,0.02
1982,3,31,0.01
1982,4,1,0.0
1982,4,2,0.04
1982,4,3,0.0
1982,4,4,0.24
1982,4,5,0.39
1982,4,6,3.75
1982,4,7,2.12
1982,4,8,2.67
1982,4,9,2.54
1982,4,10,7.23
1982,4,11,3.17
1982,4,12,3.76
1982,4,13,5.63
1982,4,14,4.71
1982,4,15,8.19
1982,4,16,8.66
1982,4,17,6.11
1982,4,18,5.46
1982,4,19,3.84
1982,4,20,6.48
1982,4,21,2.5
1982,4,22,1.29
1982,4,23,1.4
1982,4,24,1.46
1982,4,25,1.37
1982,4,26,9.27
1982,4,27,11.19
1982,4,28,2.87
1982,4,29,2.08
1982,4,30,6.12
1982,5,1,9.84
1982,5,2,17.37
1982,5,3,15.45
1982,5,4,5.76
1982,5,5,9.56
1982,5,6,8.82
1982,5,7,13.7
1982,5,8,9.09
1982,5,9,14.89
1982,5,10,4.81
1982,5,11,2.27
1982,5,12,2.66
1982,5,13,1.81
1982,5,14,1.12
1982,5,15,3.02
1982,5,16,5.19
1982,5,17,0.69
1982,5,18,9.46
1982,5,19,4.66
1982,5,20,4.37
1982,5,21,16.16
1982,5,22,12.29
1982,5,23,5.58
1982,5,24,2.75
1982,5,25,5.6
1982,5,26,17.92
1982,5,27,13.12
1982,5,28,13.47
1982,5,29,7.74
1982,5,30,19.3
1982,5,31,9.85
1982,6,1,14.79
1982,6,2,12.54
1982,6,3,28.69
1982,6,4,58.56
1982,6,5,17.41
1982,6,6,5.23
1982,6,7,2.86
1982,6,8,5.97
1982,6,9,6.98
1982,6,10,10.48
1982,6,11,5.04
1982,6,12,10.23
1982,6,13,8.09
1982,6,14,15.34
1982,6,15,0.93
1982,6,16,1.08
1982,6,17,0.66
1982,6,18,1.01
1982,6,19,2.52
1982,6,20,15.06
1982,6,21,13.1
1982,6,22,15.53
1982,6,23,2.82
1982,6,24,5.04
1982,6,25,9.8
1982,6,26,10.73
1982,6,27,10.87
1982,6,28,11.53
1982,6,29,8.78
1982,6,30,15.92
1982,7,1,12.65
1982,7,2,13.71
1982,7,3,13.86
1982,7,4,20.14
1982,7,5,6.98
1982,7,6,15.27
1982,7,7,11.95
1982,7,8,9.92
1982,7,9,1.38
1982,7,10,7.84
1982,7,11,4.6
1982,7,12,4.89
1982,7,13,5.58
1982,7,14,4.99
1982,7,15,0.25
1982,7,16,0.17
1982,7,17,0.4
1982,7,18,0.29
1982,7,19,0.14
1982,7,20,0.32
1982,7,21,1.61
1982,7,22,2.04
1982,7,23,1.14
1982,7,24,0.69
1982,7,25,7.86
1982,7,26,3.3
1982,7,27,5.05
1982,7,28,5.26
1982,7,29,5.0
1982,7,30,6.32
1982,7,31,5.85
1982,8,1,3.23
1982,8,2,9.03
1982,8,3,11.24
1982,8,4,17.36
1982,8,5,19.7
1982,8,6,7.36
1982,8,7,5.5
1982,8,8,10.84
1982,8,9,24.47
1982,8,10,17.17
1982,8,11,10.31
1982,8,12,3.35
1982,8,13,6.63
1982,8,14,4.39
1982,8,15,1.72
1982,8,16,3.67
1982,8,17,8.31
1982,8,18,4.75
1982,8,19,7.0
1982,8,20,14.35
1982,8,21,28.68
1982,8,22,12.34
1982,8,23,28.46
1982,8,24,6.69
1982,8,25,14.22
1982,8,26,14.88
1982,8,27,3.24
1982,8,28,9.02
1982,8,29,5.46
1982,8,30,7.99
1982,8,31,6.61
1982,9,1,13.68
1982,9,2,13.78
1982,9,3,6.22
1982,9,4,11.8
1982,9,5,6.79
1982,9,6,9.27
1982,9,7,7.78
1982,9,8,4.98
1982,9,9,36.24
1982,9,10,9.04
1982,9,11,6.66
1982,9,12,21.67
1982,9,13,8.06
1982,9,14,10.94
1982,9,15,6.08
1982,9,16,9.83
1982,9,17,5.8
1982,9,18,4.85
1982,9,19,9.47
1982,9,20,11.61
