YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_KT,WS2M,WS10M,WS50M,T2M,T10M,TS,QV2M,RH2M,PRECTOTCORR,PS,WD2M,WD10M,WD50M,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_UP,ALLSKY_SFC_SW_DNI
2014,1,1,237.53,218.84,0.59,1.4,2.12,3.34,26.89,26.87,28.51,11.72,55.75,0.0,99.37,157.5,157.69,156.81,1.63,0.12,25.61,152.87
2014,1,2,241.87,208.66,0.55,2.45,3.65,5.18,27.53,27.97,28.02,6.29,30.94,0.0,99.31,78.56,78.62,77.62,1.59,0.12,24.47,161.53
2014,1,3,256.05,237.59,0.63,3.06,4.66,6.81,26.89,27.57,27.14,4.52,23.0,0.0,99.32,68.25,68.19,67.25,1.87,0.14,33.34,175.05
2014,1,4,250.62,240.77,0.64,3.11,4.73,7.05,26.1,26.7,26.43,4.46,23.5,0.0,99.39,79.56,79.5,78.38,1.77,0.12,29.11,212.22
2014,1,5,252.93,253.42,0.67,2.34,3.52,4.77,25.98,26.75,26.26,5.55,29.25,0.0,99.38,118.06,118.0,117.06,1.83,0.13,32.37,273.36
2014,1,6,245.06,241.98,0.64,2.99,4.39,6.38,26.1,26.63,26.15,5.25,27.75,0.0,99.38,97.0,96.94,96.25,1.72,0.11,27.67,227.6
2014,1,7,259.06,259.7,0.69,3.09,4.65,6.93,26.28,26.81,26.72,4.58,23.62,0.0,99.29,66.75,66.69,65.94,1.92,0.12,31.47,281.38
2014,1,8,257.46,246.88,0.66,3.05,4.52,6.73,26.4,26.89,26.83,4.94,24.81,0.0,99.32,68.69,68.75,67.62,-999.0,0.12,29.88,249.62
2014,1,9,247.43,247.04,0.66,2.7,4.03,5.76,26.48,26.98,27.11,5.19,26.5,0.0,99.34,86.25,86.25,85.12,1.75,0.12,28.13,245.76
2014,1,10,247.86,245.39,0.65,3.22,4.67,6.52,27.4,27.79,27.5,5.0,23.62,0.0,99.4,72.75,72.69,71.69,1.75,0.12,26.44,226.79
2014,1,11,248.31,237.81,0.62,3.9,5.68,8.46,27.13,27.4,27.53,4.88,23.31,0.0,99.44,65.19,65.19,64.31,1.73,0.11,24.71,184.18
2014,1,12,249.09,233.22,0.62,3.16,4.7,6.91,27.12,27.57,27.65,5.07,25.25,0.0,99.55,71.06,71.19,70.06,1.7,0.12,24.79,171.73
